Title,Body,Epic,MVP,Priority,Status
"As an operator, I want a first-run install wizard so that I can initialize the site safely.","- Visiting /admin on first run redirects to Install wizard (Booting→Installing→Serving).
- Maintenance page shown on public routes during install; cleared on completion.
- Successful completion transitions runtime to Serving.",EPIC 0 — Installation & First-Run,Yes,P1,Backlog
"As an operator, I want to create or connect a Git repo so that content is versioned from day 1.","- Choose Create New (init) or Connect Existing (clone/attach).
- Validate required structure (content/, config/); refuse with actionable errors if invalid.
- Initial commit written (bootstrap); credentials are not stored in Git.",EPIC 0 — Installation & First-Run,Yes,P1,Backlog
"As an operator, I want to create the first admin so that the console is secure.","- Admin user created with Argon2id-hashed password.
- HMAC-signed cookie issued on login; optional IP/User-Agent binding; session TTL enforced.",EPIC 0 — Installation & First-Run,Yes,P1,Backlog
"As an operator, I want to set initial theme mounts so that pages render immediately.","- Select compiled themes for '/', '/api/', '/feed/' and write config/theme_mounts.toml to Git.
- Boot fails fast on unknown theme ID with remediation hint.",EPIC 0 — Installation & First-Run,Yes,P1,Backlog
"As an operator, I want the DB rebuilt from Git on boot so that runtime is clean and fast.","- SQLite file deleted and rebuilt fresh from Git on boot.
- TOML parse errors include file path and line/column; partial DB state is not served.
- Rebuild completes in ≤ 2s for 1k items on 4vCPU/8GB SSD VM (document SLO).",EPIC A — Core Content Store & Boot Pipeline,Yes,P1,Backlog
"As a content editor, I want frontmatter in TOML fenced by +++ so that formatting is consistent.","- Frontmatter must be TOML within +++ fences at top of file; body follows.
- YAML/JSON frontmatter and volatile fields are rejected with actionable errors.
- Required core keys validated; invalid files are excluded from routing with admin warnings.",EPIC A — Core Content Store & Boot Pipeline,Yes,P1,Backlog
"As an editor, I want to enter commit messages so that changes are auditable.","- Commit message is required for saves in MVP; preview shown before commit.
- On concurrent changes, commit fails with readable diff for resolve+retry.",EPIC A — Core Content Store & Boot Pipeline,Yes,P1,Backlog
"As an editor, I want hierarchical categories by path so that URLs reflect structure.","- Frontmatter accepts categories_path: [""seg1"",""seg2""].
- Router builds canonical URL '/{categories_path}/{slug}'.
- Invalid segments (not in registry) block publish with helpful error.",EPIC B — Taxonomy & Routing,Yes,P1,Backlog
"As an editor, I want flat tags so that filtering and search are richer.","- Frontmatter accepts tags_set: [""tag1"",""tag2""].
- Unknown tags are flagged with a suggestion to add or remove.",EPIC B — Taxonomy & Routing,Yes,P1,Backlog
"As an operator, I want old paths to 301 so that SEO is preserved.","- Changing a post slug appends previous full path to old_paths[]; requests to any old path 301.
- Category rename/move appends to term old_paths[]; category archives 301 to canonical.",EPIC B — Taxonomy & Routing,Yes,P1,Backlog
